1005,0.93,-0.51,1.11,1.79,1050
1017,0.78,-0.42,1.22,1.79,1050
1027,1.03,-0.49,1.17,1.57,1050
1036,0.63,-0.44,1.05,1.61,1050
1044,0.67,-0.42,1.23,1.73,1050
1053,0.83,-0.22,1.05,1.78,1050
1062,1.21,-0.57,1.21,1.69,1050
1070,0.89,-0.25,1.15,1.50,1050
1079,0.93,-0.42,1.18,1.40,1050
1096,0.99,-0.57,1.11,1.66,1050
1104,0.93,-0.47,1.31,1.69,1050
1113,0.94,-0.59,1.18,1.69,1050
1120,0.88,-0.35,1.26,1.53,1050
1127,0.88,-0.45,1.09,1.40,1050
1134,0.87,-0.43,0.98,1.64,1050
1141,0.79,-0.50,1.24,1.61,1050
1148,0.71,-0.32,1.08,1.63,1050
1156,0.85,-0.58,1.13,1.59,1050
1163,1.01,-0.44,0.95,1.56,1050
1170,0.68,-0.71,1.26,1.63,1050
1177,0.69,-0.36,1.24,1.59,1050
1184,0.83,-0.54,1.14,1.59,1050
1191,0.78,-0.39,0.98,1.68,1050
1198,0.68,-0.47,0.99,1.66,1050
1205,0.84,-0.44,1.07,1.55,1050
1212,0.98,-0.53,1.10,1.62,1050
1219,0.65,-0.36,1.21,1.89,1050
1227,0.75,-0.53,1.09,1.69,1050
1234,0.97,-0.50,1.34,1.56,1050
1241,1.04,-0.43,1.21,1.73,1050
1248,0.78,-0.29,1.13,1.76,1050
1255,1.08,-0.57,1.02,1.52,1050
1263,1.02,-0.60,1.33,1.47,1050
1269,0.80,-0.36,1.15,1.81,1050
1276,0.98,-0.32,1.37,1.60,1050
1284,0.80,-0.66,0.95,1.41,1050
1291,0.90,-0.40,0.92,1.54,1050
1298,0.74,-0.33,1.16,1.76,1050
1305,0.57,-0.46,1.27,1.65,1050
1313,0.86,-0.61,1.18,1.79,1050
1320,0.61,-0.37,1.12,1.89,1050
1327,0.76,-0.37,1.12,1.82,1050
1334,0.82,-0.42,1.18,1.50,1050
1341,0.95,-0.36,1.37,1.40,1050
1348,0.86,-0.44,0.96,1.65,1050
1355,0.83,-0.29,1.33,1.60,1050
1362,0.96,-0.43,1.06,1.70,1050
1369,0.78,-0.58,1.15,1.81,1050
1377,0.88,-0.53,1.26,1.61,1050
1384,0.92,-0.43,1.17,1.53,1050
1390,0.90,-0.43,1.15,1.66,1050
1397,0.86,-0.26,1.36,1.89,1050
1404,0.74,-0.46,1.14,1.64,1050
1411,1.00,-0.52,1.17,1.50,1050
1418,0.64,-0.44,1.16,1.76,1050
1425,0.65,-0.39,1.06,1.66,1050
1432,0.79,-0.61,1.23,1.54,1050
1440,1.06,-0.35,1.01,1.47,1050
1447,0.96,-0.39,1.17,1.65,1050
1453,0.82,-0.32,1.36,1.46,1050
1460,1.01,-0.41,1.22,1.32,1050
1467,0.97,-0.24,1.05,1.58,1050
1475,0.86,-0.26,1.12,1.76,1050
1482,0.58,-0.47,1.17,1.53,1050
1488,0.94,-0.44,1.20,1.45,1050
1495,0.81,-0.64,1.34,1.86,1050
1503,0.89,-0.14,1.34,1.60,1050
1510,0.87,-0.50,1.09,1.46,1050
1516,0.78,-0.53,1.23,1.77,1050
1523,0.76,-0.47,1.20,1.56,1050
1531,0.96,-0.61,1.04,1.70,1050
1538,0.97,-0.48,1.00,1.85,1050
1545,0.78,-0.28,1.24,1.76,1050
1551,0.97,-0.42,1.10,1.53,1050
1559,0.83,-0.30,1.01,1.53,1050
1566,0.71,-0.25,1.08,1.73,1050
1572,0.90,-0.39,1.09,1.61,1050
1579,0.80,-0.54,1.11,1.69,1050
1586,0.65,-0.57,1.16,1.91,1050
1594,1.01,-0.26,1.18,1.60,1050
1601,0.88,-0.50,1.09,1.50,1050
1607,0.91,-0.50,1.17,1.62,1050
1614,0.89,-0.26,1.16,1.83,1050
1621,0.80,-0.45,1.17,1.71,1050
1628,1.14,-0.57,1.00,1.58,1050
1635,0.85,-0.40,1.20,1.52,1050
1642,0.89,-0.43,1.24,1.64,1050
1649,1.09,-0.45,1.20,1.47,1050
1657,0.92,-0.36,1.37,1.61,1050
1664,0.80,-0.33,1.31,1.74,1050
1670,0.90,-0.35,1.02,1.68,1050
1677,0.94,-0.28,1.30,1.60,1050
1684,0.03,-0.35,1.07,1.73,1050
1692,0.78,-0.35,1.21,1.40,1050
1699,0.86,-0.31,1.08,1.62,1050
1706,0.04,-0.30,1.21,1.48,1050
1714,0.56,-0.51,1.17,1.76,1050
1721,0.94,-0.36,1.29,1.79,1050
1728,0.67,-0.36,1.18,1.45,1050
1735,1.04,-0.75,1.31,1.49,1050
1742,0.94,-0.15,1.14,1.60,1050
1749,0.78,-0.39,1.21,1.52,1050
1756,0.93,-0.62,1.08,1.43,1050
1762,0.84,-0.28,1.30,1.83,1050
1770,0.80,-0.33,1.26,1.59,1050
1777,0.76,-0.21,0.95,1.60,1050
1784,0.76,-0.53,1.16,1.63,1050
1790,0.78,-0.49,1.09,1.72,1050
1797,0.84,-0.33,1.35,1.69,1050
1805,0.89,-0.43,1.00,1.68,1050
1812,0.85,-0.61,1.20,1.70,1050
1818,0.83,-0.32,1.18,1.47,1050
1827,0.96,-0.29,1.21,1.57,1050
1835,0.90,-0.50,1.15,1.58,1050
1844,1.08,-0.56,1.16,1.57,1050
1853,0.91,-0.57,1.08,1.82,1050
1861,0.80,-0.37,1.37,1.53,1050
1869,0.89,-0.47,1.21,1.55,1050
1878,1.69,-0.31,1.15,1.50,1050
1887,1.07,-0.28,1.30,1.54,1050
1896,0.72,-0.57,1.05,1.60,1050
1905,0.80,-0.35,1.05,1.56,1050
1914,1.09,-0.43,1.09,1.60,1050
1922,0.72,-0.35,1.13,1.76,1050
1930,0.58,-0.46,1.44,1.47,1050
1939,0.79,-0.46,1.37,1.52,1050
1949,0.73,-0.40,1.05,1.64,1050
1958,0.82,-0.26,1.34,1.61,1050
